x,short
"2019,0000","0,0000"
"2019,0851","0,0000"
"2019,1702","0,0000"
"2019,2553","0,0000"
"2019,3404","0,0000"
"2019,4255","0,0000"
"2019,5106","0,0000"
"2019,5957","0,0000"
"2019,6808","0,0000"
"2019,7659","0,0000"
"2019,8510","0,0000"
"2019,9361","0,0000"
"2020,0213","0,0000"
"2020,1064","0,0000"
"2020,1915","0,0000"
"2020,2766","0,0000"
"2020,3617","0,0000"
"2020,4468","0,0000"
"2020,5319","0,0000"
"2020,6170","0,0000"
"2020,7021","0,0000"
"2020,7872","0,0000"
"2020,8723","0,0000"
"2020,9574","0,0000"
"2021,0425","0,0000"
"2021,1276","0,0000"
"2021,2127","0,0000"
"2021,2978","0,0000"
"2021,3829","0,0000"
"2021,4680","0,0000"
"2021,5531","0,0000"
"2021,6382","0,0000"
"2021,7233","0,0000"
"2021,8084","0,0000"
"2021,8935","0,0000"
"2021,9786","0,0000"
"2022,0638","0,0000"
"2022,1489","0,0000"
"2022,2340","0,0000"
"2022,3191","0,0000"
"2022,4042","0,0000"
"2022,4893","0,0000"
"2022,5744","0,0000"
"2022,6595","10,0000"
"2022,7446","8,0000"
"2022,8297","13,0000"
"2022,9148","9,0000"
"2022,9999","15,0000"
